names,scores,logfoldchanges,group
Prrx1,0.079613715,3.751201,ACTE2
Slc30a10,0.07763924,3.1358693,ACTE2
Irak2,0.076596,3.0856593,ACTE2
Baalc,0.07637012,3.077592,ACTE2
Mlc1,0.07563078,4.334698,ACTE2
Gareml,0.07425953,3.1650026,ACTE2
Ttr,0.9044528,15.698631,CHOR
Slc4a5,0.8708129,13.985134,CHOR
Kcne2,0.85906106,14.559832,CHOR
Tmem72,0.8382417,12.720084,CHOR
Folr1,0.7900403,11.128323,CHOR
Sostdc1,0.7658429,10.628421,CHOR
Aqp1,0.7616644,10.952572,CHOR
